route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L290D99,1,3092,"Cetkovice",1,,1,0
L290D99,1,3093,"Jevíčko, nám.",1,,0,0
L290D99,1,3094,"Cetkovice",1,,1,0
L290D99,1,3095,"Jevíčko, nám.",1,,0,0
L251D99,1,3096,"Skalice nad Svitavou, žel.st.",1,,1,0
L251D99,1,3097,"Velké Opatovice, aut.st.",1,,0,0
L253D99,1,3098,"Boskovice, aut.st.",1,,1,0
L253D99,1,3099,"Velké Opatovice, aut.st.",1,,0,0
L272D99,1,3100,"Velké Opatovice, Korbelova Lhota",1,,1,1
L272D99,1,3101,"Velké Opatovice, aut.st.",1,,0,1
L254D99,1,3102,"Letovice, železniční stanice",1,,0,0
L255D99,1,3103,"Boskovice, 17. listopadu",1,,1,0
L254D99,1,3104,"Letovice, Meziříčko",1,,0,0
L254D99,1,3105,"Boskovice, 17. listopadu",1,,1,0
L254D99,1,3106,"Letovice, železniční stanice",1,,0,0
L254D99,1,3107,"Boskovice, 17. listopadu",1,,1,0
L254D99,1,3108,"Letovice, Třebětín",1,,0,0
L254D99,1,3109,"Boskovice, aut.st.",1,,1,0
L262D99,1,3110,"Kořenec, točna",1,,0,0
L262D99,1,3111,"Boskovice, aut.st.",1,,1,0
L254D99,1,3112,"Letovice, Třebětín",1,,0,0
L254D99,1,3113,"Boskovice, aut.st.",1,,1,0
L254D99,1,3114,"Letovice, Meziříčko",1,,0,0
L254D99,1,3115,"Boskovice, aut.st.",1,,1,0
L254D99,1,3116,"Letovice, železniční stanice",1,,0,0
L254D99,1,3117,"Boskovice, aut.st.",1,,1,0
L254D99,1,3118,"Boskovice, aut.st.",1,,1,0
L255D99,1,3119,"Letovice, železniční stanice",1,124,0,0
L254D99,1,3120,"Letovice, Třebětín",1,124,0,0
L254D99,1,3121,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3122,"Kunštát, nám.",1,,0,0
L256D99,1,3123,"Boskovice, aut.st.",1,125,1,0
L262D99,1,3124,"Kořenec, točna",1,125,0,0
L262D99,1,3125,"Boskovice, aut.st.",1,,1,0
L254D99,1,3126,"Letovice, Meziříčko",1,,0,0
L254D99,1,3127,"Letovice, železniční stanice",1,,1,0
L274D99,1,3128,"Bohuňov, náves",1,,0,0
L274D99,1,3129,"Letovice, železniční stanice",1,,1,0
L255D99,1,3130,"Boskovice, aut.st.",1,,1,0
L261D99,1,3131,"Velenov",1,,0,0
L261D99,1,3132,"Boskovice, 17. listopadu",1,,1,0
L254D99,1,3133,"Letovice, Třebětín",1,,0,0
L254D99,1,3134,"Letovice, železniční stanice",1,,1,0
L255D99,1,3135,"Boskovice, aut.st.",1,,1,0
L255D99,1,3136,"Letovice, železniční stanice",1,,0,0
L255D99,1,3137,"Boskovice, aut.st.",1,,1,0
L254D99,1,3138,"Letovice, železniční stanice",1,,0,0
L262D99,1,3139,"Kořenec, točna",2,,0,0
L262D99,1,3140,"Boskovice, aut.st.",2,,1,0
L255D99,1,3141,"Letovice, železniční stanice",2,,0,0
L255D99,1,3142,"Boskovice, aut.st.",2,,1,0
L255D99,1,3143,"Letovice, železniční stanice",2,,0,0
L254D99,1,3144,"Boskovice, 17. listopadu",2,,1,0
L262D99,1,3145,"Kořenec, točna",2,,0,0
L262D99,1,3146,"Boskovice, aut.st.",2,,1,0
L254D99,1,3147,"Letovice, Třebětín",2,,0,0
L254D99,1,3148,"Letovice, železniční stanice",2,126,1,0
L255D99,1,3149,"Boskovice, 17. listopadu",2,126,1,0
L255D99,1,3150,"Letovice, železniční stanice",2,,0,0
L254D99,1,3151,"Boskovice, 17. listopadu",2,,1,0
L254D99,1,3152,"Letovice, železniční stanice",2,,0,0
L254D99,1,3153,"Boskovice, aut.st.",2,,1,0
L255D99,1,3154,"Boskovice, aut.st.",1,,1,0
L254D99,1,3155,"Letovice, Meziříčko",1,,0,0
L254D99,1,3156,"Boskovice, Sušilova ZŠ II",1,,1,0
L255D99,1,3157,"Letovice, železniční stanice",1,,0,0
L255D99,1,3158,"Boskovice, 17. listopadu",1,,1,0
